python,英 [?pa?θ?n]美 [?pa?θɑn],n. 巨蛇，大蟒;
worth,英 [w?:θ]美 [w?rθ],adj. 值得的; 有…的价值; 等值的; 有…的财产; n. 价值; 财富，财产;
chain,英 [t?e?n]美 [t?en],n. 链子，链条; 连锁，连续; 拘束; 连锁店或旅馆系列的事物; vt. 用铁链锁住; 监禁，束缚
fetch,英 [fet?]美 [f?t?],vt. 接来（某人）; 使发出; 吸引; 售得（若干价钱）; vi. 取来; 抵达，到达; 卖得（好
inclined,英 [?n?kla?nd]美 [?n?kla?nd],adj. 倾斜的; 倾向的; v. （使）倾斜( incline的过去式和过去分词); （使）偏向;
selected,英 [s?'lekt?d]美 [s?'lekt?d],adj. 经由选择的，挑选的; v. 选择，挑选( select的过去式和过去分词 );
negative,英 [?neg?t?v]美 [?n?ɡ?t?v],adj. 消极的，否认的; [数]负的; [心]反抗性的; 无预期结果的; n. 否定词语; 否定的
average,"英 [??v?r?d?]美 [??v?r?d?, ??vr?d?]",adj. 平均的; 平常的; 典型的; （价值、比率等的）平均数的; n. 平均水平; （速度等的）
extremely,英 [?k?stri:mli]美 [?k'striml?],adv. 极端地; 非常，很; 去; 绝;
concurrent,英 [k?n?k?r?nt]美 [k?n?k?r?nt],adj. 〈正式〉同时发生的; 同时完成的; 同时存在的; n. [数] 共点; 同时发生的事件;
logger,英 [?l?g?(r)]美 [?l?g?(r)],n. 记录器; <美>樵夫; 伐木工;
strip,英 [str?p]美 [str?p],vi. 剥光; 表演脱衣舞; 剥除; vt. 除去，剥去; 剥夺; 删除; 清除，拆除; n. 长条
interested,"英 [??ntr?st?d]美 [??ntr?st?d, -t?r?st?d, -t??r?st?d]",adj. 感兴趣的; 拥有权益的; 有成见的; v. 使…感兴趣(interest的过去分词);
verify,英 [?ver?fa?]美 [?v?r??fa?],vt. 核实; 证明; 判定;
currently,英 [?k?r?ntli]美 [?k?r?ntli],adv. 当前，目前; 通常，一般，现在; 容易，流畅; 普遍地;
moving,英 [?mu:v??]美 [?muv??],adj. 感人的; 活动的，可移动的; 搬家的，搬运的; v. move的现在分词;
environ,"英 [?n'va??r?n]美 [?n?va?r?n, -?va??n]",vt. 包围，环绕，（敌意地或保护性的）围住;
certificate,英 [s??t?f?k?t]美 [s?r?t?f?k?t],n. 证明书; 文凭，结业证书; vt. 发给证明书; 用证书证明（或认可）;
mechanism,英 [?mek?n?z?m]美 [?m?k??n?z?m],n. [生]机制，机能，[乐]机理; （机械）结构，机械装置[作用]，（故事的）结构; [艺]手法，
reverse,英 [r??v?:s]美 [r??v?rs],vt.& vi. （使）反转; （使）颠倒; 掉换，交换; [法]撤消，推翻; vi. 倒退; [桥
getter,英 ['get?]美 ['get?],n. 吸气剂; 获得者;
acquire,英 [??kwa??(r)]美 [??kwa?r],vt. 学到; 获得，取得;
assign,英 [??sa?n]美 [??sa?n],vt. 分派，选派，分配; 归于，归属; [法律] 把（财产，权利、利息）从一人转让给另一人; 把…
chicago,"英 [??'kɑ:g??, -'k?:-]美 [??'kɑɡo?? -'k?-]",n. 芝加哥（美国城市名）;
dimension,"英 [da??men?n]美 [d??m?n??n, da?-]",n. 尺寸; [复]面积，范围; [物]量纲; [数]次元，度，维; adj. （石料，木材）切成特
converting,英 [k?n'v?:t??]美 [k?n'v?t??],n. 吹（炉冶）炼，转炉炼钢; v. （使）转变( convert的现在分词 ); （使）转化; 皈
combine,英 [k?m?ba?n]美 [k?m?ba?n],v. 使结合; 使化合; 兼有; 用联合收割机收割; n. 联合; 联合收割机; 联合集团; 组合艺
objectify,英 [?b?d?ekt?fa?]美 [?b'd?ekt?fa?],vt. 使客体化，使客观化，使具体化;
mixed,英 [m?kst]美 [m?kst],adj. 混合的，混杂的; 男女混合的; 〈口〉头脑混乱的; 形形色色的; v. 混合(mix的过去
meaning,英 [?mi:n??]美 [?min??],n. 含义; 意思，意义; 意图; adj. 有意思的; 意味深长的; vt. 意味(mean的现在
obtain,英 [?b?te?n]美 [?b?tein],vt. 获得，得到; 流行; 买到，达到（目的）; vi. 通行，通用; 流行; 存在;
cookbook,英 [?k?kb?k]美 [?k?k?b?k],n. 食谱，菜谱;
normalize,英 [?n?:m?la?z]美 [?n?rm?la?z],vt. 使正常化; 使标准化;
aspect,英 [??spekt]美 [??sp?kt],n. 方面; 面貌; 方位，方向; 形势;
begin,英 [b??g?n]美 [?beɡ?n],vt.& vi. 开始; 着手; 创始; 创办; vi. （从…）开始; 起始; 起初是; 开始讲话
exist,英 [?g?z?st]美 [?ɡ?z?st],vi. 存在; 生存; 生活; 继续存在;
alternatively,英 [?:l?t?:n?t?vli]美 [?l?t?rn?t?vli],adv. 或者; 二者择一地; 要不然;
moreover,英 [m?:r???v?(r)]美 [m?r?o?v?r],adv. 而且; 此外; 同时; 再者;
absolute,英 [??bs?lu:t]美 [??bs??lut],adj. 绝对的，完全的; 不受任何限制[约束]的; 无条件的; 有无上权力或权威的; n. 绝对;
community,英 [k??mju:n?ti]美 [k??mjun?ti],n. 社区; 共同体; 社会团体; [生态] 群落;
subsequent,"英 [?s?bs?kw?nt]美 [?s?bs??kw?nt, -kw?nt]",adj. 随后的; 后来的; 作为结果而发生的; 附随的;
happen,英 [?h?p?n]美 [?h?p?n],vi. 发生; 出现; 碰巧; 偶然遇到;
greater,英 [ɡre?t?]美 [ɡre?t?],adj. 大的(great的比较级);
crash,英 [kr??]美 [kr??],v. 碰撞; 使发出巨响; 暴跌; 睡觉; n. 崩溃; 碰撞; 碰撞声; 暴跌; adj. 应急的
evaluator,英 [?'v?lj?e?t?(r)]美 [?'v?lj?e?t?(r)],n. 求值程序;
fragment,英 [?fr?gm?nt]美 [?fr?ɡm?nt],n. 碎片; 片段，未完成的部分; （将文件内容）分段; vt. （使）碎裂，破裂，分裂; vi. 
communication,英 [k??mju:n??ke??n]美 [k??mjun??ke??n],n. 交流; 通讯，通信; 书信; 传达;
specifically,英 [sp??s?f?kli]美 [sp??s?f?kli],adv. 特有地，明确地; 按种别地; 按特性地;
resource,英 [r??s?:s]美 [?ris?rs],n. 资源; 物力，财力; 办法; 智谋;
forth,英 [f?:θ]美 [f?rθ],adv. 向前，向前方; 露着的，往外的; [废语]出外，离家; prep. 出自，从…离开;
launch,"英 [l?:nt?]美 [l?nt?, lɑnt?]",vt. 发射; 发动; [计算机]开始（应用程序）; 开展（活动、计划等）; vi. 投入; 着手进
athlete,英 [??θli:t]美 [??θ?lit],n. 运动员; 体育家; 强壮的人;
cookie,英 [?k?ki]美 [?k?ki],n. 饼干; 小甜点; 吸引人的年轻妇女; 甜面包;
focus,英 [?f??k?s]美 [?fo?k?s],vt.& vi. （使）集中，（使）聚集; 调整（镜头，眼睛）焦点[焦距]以便看清; vt. 调整（
decorate,英 [?dek?re?t]美 [?d?k??ret],vt. 装饰; 点缀; 粉刷; 授予（某人）勋章; vi. 装饰; 布置;
hierarchy,英 [?ha??rɑ:ki]美 [?ha??rɑrki],n. [计]分层，层次; 等级制度; 统治集团; 天使的级别或等级;
category,英 [?k?t?g?ri]美 [?k?t?g?ri],n. 类型，部门，种类，类别，类目; [逻，哲]范畴; 体重等级;
caller,英 [?k?:l?(r)]美 [?k?l?],n. 呼叫者; 召集者; 访问者; 打电话者; adj. 新鲜的;
wrapping,英 [?r?p??]美 [?r?p??],n. 包装纸; 包装材料; v. 包，裹住(wrap的现在分词); adj. 包装用的;
detail,英 [?di:te?l]美 [d??te?l],n. 详述; （照片、绘画等的）细部; 细目，琐碎; 各种细节; vt. 详述，仔细汇报; 选派; 
frequency,英 [?fri:kw?nsi]美 [?frikw?nsi],n. 频繁性; [数][物]频率，次数; 频率分布;
minimum,英 [?m?n?m?m]美 [?m?n?m?m],n. 最低限度; 最小量; 最低消费; [数]极小值; adj. 最小的; 最低的; 最少的;
difficult,"英 [?d?f?k?lt]美 [?d?f??k?lt, -k?lt]",adj. 困难的; 难做的; 难解的; 不易相处的;
modify,英 [?m?d?fa?]美 [?mɑd?fa?],vi. 修改; 被修饰; vt. 改变; 减轻，减缓; [语]修饰，（用变音符号）改变;
carefully,英 ['ke?f?l?]美 [?k?rf?l?],adv. 仔细地; 小心谨慎地; 警惕地; 周密地;
copyright,英 [?k?pira?t]美 [?kɑpira?t],n. 版权，著作权; adj. 版权的; 受版权保护的; vt. 获得…的版权;
trailing,英 ['tre?l??]美 ['tre?l??],n. 泥浆彩饰; adj. 拖尾的; 曳尾的; 被拖动的; 蔓延的; v. （使某物）被拖在后面( 
notation,英 [n???te??n]美 [no??te??n],n. 记号，标记法;
reshape,英 [?ri:??e?p]美 [ri??ep],vt. 重塑; 给…以新形态; 采取新形式; 打开新局面;
experiment,英 [?k?sper?m?nt]美 [?k?sp?r?m?nt],n. 尝试; 实验，试验; vi. 尝试; 做实验，进行试验;
compatibility,英 [k?m?p?t??b?l?ti]美 [k?m?p?t??b?l?t?],n. 适合; 互换性;  通用性; 和睦相处;
convention,英 [k?n?ven?n]美 [k?n?v?n??n],n. 会议; 全体与会者; 国际公约; 惯例，习俗，规矩;
replacement,英 [r??ple?sm?nt]美 [r??plesm?nt],n. 代替; 归还，，复位; 替代者; 补充兵员;
division,英 [d??v??n]美 [d??v???n],n. 部门; 分开，分隔; [数]除法; [军]师;
widget,英 [?w?d??t]美 [?w?d??t],n. 小器具，装饰品，窗口小部件;
typing,英 [?ta?p??]美 [?ta?p??],n. 打字，键入; 打印本，打印文件; v. 打字( type的现在分词); 按类型把…归类;
dynamic,英 [da??n?m?k]美 [dai?n?mik],adj. 动态的; 动力的，动力学的; 充满活力的，精力充沛的; 不断变化的，充满变数的; n. 动
received,英 [r??si:vd]美 [r??sivd],adj. 被一般承认的，被认为标准的; v. 接到; 接待; 收到( receive的过去式和过去分
oriented,英 ['?:r??nt?d]美 ['?r?rnt?d],adj. 导向的; 定向的; 以…为方向的; 定方向;
authentication,英 [?:?θent?'ke??n]美 [??θent?'ke??n],n. 认证; 身份验证; 证明，鉴定; 密押;
precision,英 [pr??s??n]美 [pr??s???n],n. 精确度，准确（性）; [语]精确; adj. 精确的，准确的，细致的; 严守标准的; 行动精确
operate,英 [??p?re?t]美 [?ɑp?re?t],vt.& vi. 操作; 经营; 运转; 管理; vi. 开刀; （对…）动手术; 动手术; （在某
tweet,英 [twi:t]美 [twit],vi. 鸣叫; n. 小鸟啼叫，自录音再现装置发出的高音;
triggered,英 ['tr?g?d]美 ['tr?g?d],adj. 触发的; v. 引发( trigger的过去式和过去分词 ); 扣…的扳机; 发射（导弹）
clause,英 [kl?:z]美 [kl?z],n. 从句，分句; 条款，款项;
manipulation,英 [m??n?pj?'le??n]美 [m??n?pj??le??n],n. 操纵; 控制; （熟练的）操作; （对账目等的）伪造;
sized,英 ['sa?zd]美 [sa?zd],adj. 有…大小的;
finding,英 [?fa?nd??]美 [?fa?nd??],n. 发现物; 研究结果; 调查（或研究）的结果; <律>（陪审团的）裁决; v. 发现( find
latest,英 [?le?t?st]美 [?let?st],n. 最新事物; 最新消息; adj. 最新的; 最近的; 最现代的;
relatively,英 [?rel?t?vli]美 [?r?l?t?vl?],adv. 相对地; 关系上地; 比较地; 较比;
deadlock,英 [?dedl?k]美 [?dedlɑk],n. 僵局; 停顿，停滞; 没有弹簧的锁; vt. 停顿; 相持不下; vi. 成僵局;
translation,"英 [tr?ns?le??n]美 [tr?ns?le??n, tr?nz-]",n. 翻译; 译本; 转化; 转变;
scanner,英 [?sk?n?(r)]美 [?sk?n?],n. 扫描器; 扫描设备; 检测装置; 细查者;
checked,英 [t?ekt]美 [t??kt],adj. 方格图案的; 受阻的; 封闭的; v. 检查，核对(check的过去式和过去分词);
translate,"英 [tr?ns?le?t]美 [tr?ns?let, tr?nz-, ?tr?ns?let, ?tr?nz-]",vt.& vi. 翻译; 转化; 解释; 被翻译;
clark,英 [klɑ:k]美 [klɑk],abbr. combat launch and recovery kit 战斗开始与防御装备;
consumer,英 [k?n?sju:m?(r)]美 [k?n?sum?(r)],n. 消费者，顾客; [生态]取食者，食物链中以其他生物为食物的生物;
trace,英 [tre?s]美 [tres],vt. 跟踪，追踪; 追溯，探索; 探索; 查找; vi. 沿着一小径或道路前进; 可以追溯的; n
concurrency,英 [k?n'k?r?ns?]美 [k?n'k?r?ns?],n. 并发（性）;
enable,英 [??ne?bl]美 [??neb?l],vt. 使能够，提供做…的权利[措施]; 使可能; 授予权利或方法;
validation,英 [?v?l?'de??n]美 [?v?l?'de??n],n. 确认;
immutable,英 [??mju:t?bl]美 [??mjut?b?l],adj. 不可改变的;
meant,英 [ment]美 [m?nt],v. 意味; 打算(mean的过去式和过去分词); 表示…的意思;
report,英 [r??p?:t]美 [r??p?rt],n. 报告; 成绩报告单; 传闻; 流言蜚语; vt.& vi. 报道; 公布; 宣告; vt. 告
superclass,英 ['sju:p?klɑ:s]美 ['sjup??klɑs],n. 超类; 总纲;
opposed,英 [??p??zd]美 [??po?zd],vt. 和…起冲突; 和敌军起冲突; 反抗，抗拒; 相对：放在某事物对面以对比或平衡; vi. 对抗
stash,英 [st??]美 [st??],n. 隐（贮）藏物; （旧）藏身处; v. 贮藏; 隐藏，藏匿; 〈英〉停止;
capture,英 [?k?pt??(r)]美 [?k?pt??],vt. 俘获; 夺取; 夺得; 引起（注意、想像、兴趣）; n. 捕获; 占领; 捕获物; [计算机
forever,"英 [f?r?ev?(r)]美 [f?r??v?, f?-]",adv. 永远; 不断地，无休止地; 老是，经常; n. 永恒; 极长的一段时间;
located,英 [l???ke?t?d]美 [?lo?ke?t?d],adj. 坐落的，位于的; vt. 位于(locate的过去式和过去分词);
complexity,英 [k?m?pleks?ti]美 [k?m?pl?ks?ti],n. 复杂性，错综复杂的状态; 复杂的事物; 复合物;
restrict,英 [r??str?kt]美 [r??str?kt],vt. 限制，限定; 约束，束缚;
reader,英 [?ri:d?(r)]美 [?rid?],n. 读本; 读者，朗读者; 讲读者，讲师; 审稿人;
functional,英 [?f??k??nl]美 [?f??k??n?l],adj. 功能的; [数]函数的; 有多种用途的; 机能性;
merely,英 [?m??li]美 [?m?rli],adv. 只是; 仅仅，只不过; 纯粹; 全然;
natural,英 [?n?t?r?l]美 [?n?t?r?l],adj. 自然的; 天生的; 物质的; 不做作的; n. 自然的事情; （生来的）白痴; [乐]（风
alias,"英 [?e?li?s]美 [?eli?s, ?elj?s]",n. 别名，化名; adv. 化名为; 以化名为人所知; 别名为; 别称又被称为;
button,英 [?b?tn]美 [?b?tn],n. 按钮，电钮; 纽扣，扣子; 扣状物; [植]芽; vt. 用纽扣扣紧; 用纽扣装饰，钉钮扣于;
android,英 [??ndr??d]美 [??n?dr??d],n. 机器人; 基于Linux平台的开源手机操作系统，主要使用于便携设备。目前尚未有统一中文名称，中
merge,英 [m?:d?]美 [m?rd?],vt.& vi. 融入; （使）混合; 相融; 渐渐消失在某物中;
privacy,英 [?pr?v?si]美 [?pra?v?si],n. 隐私，秘密; 隐居; 私事; 不受公众干扰的状态;
folder,英 [?f??ld?(r)]美 [?fo?ld?(r)],n. 文件夹; 折叠机; 折叠式印刷品;
external,英 [?k?st?:nl]美 [?k?st?rnl],adj. 外面的，外部的; 表面上的; 外用的; 外国的; n. 外部，外面; 外观; 外部情况;
geometry,英 [d?i??m?tri]美 [d?i?ɑm?tri],n. 几何学; 几何形状; 几何图形; 几何学著作;
become,英 [b??k?m]美 [b??k?m],vi. 变得; 变成; 变为，成为; vt. 变成; 适合，适宜; 相称，相当; 发生;
degree,英 [d??gri:]美 [d??ɡri],n. 程度; 学位; [乐]音阶，度; [数]度，度数;
slower,英 [sl???r]美 [slo?r],v. 减慢; adj. 慢的( slow的比较级 ); 迟钝的; 慢速的; 迟迟不…;
midpoint,英 ['m?dp??nt]美 [?m?d?p??nt],n. 中点，正中央;
separator,英 [?sep?re?t?(r)]美 [?s?p??ret?],n. 分离器，分离装置; 防胀器;
individual,英 [??nd??v?d?u?l]美 [??nd??v?d?u?l],adj. 个人的; 个别的; 独特的; n. 个人; 个体;
combined,英 [k?m'ba?nd]美 [k?m?ba?nd],adj. 结合的; <化>化合的; [数]组合的; v. （使）联合(combine的过去式和过去分
active,英 [??kt?v]美 [??kt?v],adj. 积极的，活跃的，有生气的; 迅速的，敏捷的; 有效的，起作用的; n. [语法]主动语态;
repeated,英 [r??pi:t?d]美 [r??pit?d],adj. 反复的，再三的，重复的; 累; 频仍;
security,英 [s??kj??r?ti]美 [s??kj?r?ti],n. 安全; 保证，担保; 保护，防护; 有价证券; adj. 安全的，保安的，保密的;
basics,英 [?be?s?ks]美 ['be?s?ks],n. 基础; 基本因素，基本部分( basic的名词复数); 基本技术; 基本原理;
transaction,"英 [tr?n?z?k?n]美 [tr?n?s?k??n, -?z?k-]",n. 交易，业务，事务; 办理，处理; （一笔）交易，（一项）事务; （学会等的）会议记录，学报;
comprehension,英 [?k?mpr??hen?n]美 [?kɑmpr??hen?n],n. 理解，理解力; 包含的能力; [逻辑学]内涵;
story,"英 [?st?:ri]美 [?st?ri, ?stori]",n. 故事，传说; 历史，沿革; 内情; 传记; vt. 用历史故事画装饰; 讲…的故事; 把…作为
redirect,"英 [?ri:d??rekt]美 [?rid??r?kt,-da?-]",vt. 使改寄，更改（信件等）姓名地址; 改变方向，改变线路; 重新寄送; 再查问（证人等）; ad
unknown,英 [??n?n??n]美 [??n?no?n],adj. 未知的; 不出名的; 从未发生的; 从不存在的; n. 未知数; 不知名或不出名的人; 未
calculation,英 [?k?lkju?le??n]美 [?k?lkj??le??n],n. 计算，盘算; 估计; 计算的结果; 深思熟虑，慎重的计划;
linear,英 [?l?ni?(r)]美 [?l?ni?r],adj. 直线的，线形的; 长度的; <数>一次的，线性的; 通过单独的若干阶段来发展;
cross,英 [kr?s]美 [kr?s],n. 十字架; 十字形饰物; 杂交品种; 痛苦; vi. 交错而行; 横渡; 越境; vt. 杂交;
fraction,英 [?fr?k?n]美 [?fr?k??n],n. [数]分数; 一小部分，些微; 不相连的一块，片段; [化]分馏;
maintain,英 [me?n?te?n]美 [men?ten],vt. 保持; 保养; 坚持; 固执己见;
likely,英 [?la?kli]美 [?la?kli],adj. 可能的; 适合的; 有希望的; adv. 可能; 或许; 大概; 多半;
console,英 [k?n's??l]美 [k?n?so?l],vt. 安慰，慰问; n. 控制台，操纵台; 演奏台; 悬臂; 肘托;
choose,英 [t?u:z]美 [t?uz],vt. 挑选; 认为…比其它更可取; 决定或选定; vi. 选择; 进行挑选;
versus,英 [?v?:s?s]美 [?v?rs?s],prep. 对抗; （表示两队或双方对阵）对; （比较两种不同想法、选择等）与…相对;
consult,英 [k?n?s?lt]美 [k?n?s?lt],vi. 咨询; 商议，商量; [医]会诊; 充当顾问; vt. 请教; 翻阅; 求教于; 顾及;
someone,"英 [?s?mw?n]美 [?s?m?w?n, -w?n]",pron. 某人，有人; n. 某个人;
force,英 [f?:s]美 [f?rs],n. 力; 武力; （社会）势力; 魄力; vt. 强迫; 强行; 促使，推动; 强奸;
transform,英 [tr?ns?f?:m]美 [tr?ns?f?rm],vt. 变换; 改变; 改观; vi. 改变; n. [数]变换式;
arithmetic,英 [??r?θm?t?k]美 [??r?θm?t?k],n. 算法; 算术，计算;
secure,英 [s??kj??(r)]美 [s??kj?r],adj. 安全的; 牢固的; 有把握的; 安心的; vt. 保护; （使）获得; 使安全; 担保; 
construct,英 [k?n?str?kt]美 [k?n?str?kt],vt. 构成; 修建，建造; 创立; [数]作图; n. 结构（物）; 构想; 概念;
answer,英 [?ɑ:ns?(r)]美 [??ns?(r)],vt.& vi. 答复;  解答;  答辩; 适应; n. 回答; 答案; 反应; 足以媲美的人;
alternate,英 [?:l?t?:n?t]美 [??lt?rn?t],adj. 交替的; 轮流的; 间隔的; 代替的; vi. 交替; 轮流; vt. 使交替; 使轮流;
acquired,英 [?'kwa??d]美 [??kwa?rd],adj. （尤指靠自己的努力或行动）获得的; 习得的; <医>后天的; 起初不喜欢但后来逐渐培养的爱
guide,英 [ga?d]美 [ɡa?d],vt. 指导; 引路; 操纵; 影响; n. 导游; 向导; 指导者; 有指导意义的事物;
scheduler,英 ['?edju:l?(r)]美 ['?edjul?(r)],n. 调度程序，日程安排程序;
editor,英 [?ed?t?(r)]美 [??d?t?],n. 编辑，编者; 校订者; [计]编辑软件，编辑程序;
simplify,英 [?s?mpl?fa?]美 [?s?mpl??fa?],vt. 简化; 使单纯; 使简易;
repository,英 [r??p?z?tri]美 [r??pɑz?t?ri],n. 仓库; 贮藏室; 博物馆; 亲信;
essential,英 [??sen?l]美 [??s?n??l],adj. 必要的; 本质的; 基本的; 精华的; n. 必需品; 基本要素; 必不可少的东西;
serial,英 [?s??ri?l]美 [?s?ri?l],adj. 连续的; 连载的; 顺序排列的; 分期偿付的; n. 连载小说; 电视连续剧; 定期刊物;
validate,英 [?v?l?de?t]美 [?v?l??det],vt. 证实; 使合法化，使有法律效力; 使生效; 批准，确认;
click,英 [kl?k]美 [kl?k],n. 喀哒声; 爪，掣子; [计]（鼠标）点击; [语言学]吸气音; vt. 使发出喀哒声; vi.
